Date,Close
2012-12-03,13440.95000000
2012-12-28,14793.53000000
2013-01-31,15852.63000000
2013-02-28,16463.47000000
2013-03-29,17784.57000000
2013-04-30,19883.34000000
2013-05-31,19759.50000000
2013-06-28,19646.04000000
2013-07-31,19634.56000000
2013-08-30,19245.80000000
2013-09-30,19245.80000000
2013-10-31,20709.09000000
2013-11-29,22639.77000000
2013-12-30,23573.02000000
2014-01-31,21582.43000000
2014-02-28,21488.85000000
2014-04-30,20861.66000000
2014-05-30,21340.48000000
2014-06-30,22141.62000000
2014-07-31,22812.87000000
2014-08-29,22539.31000000
2014-09-30,23770.65000000
2014-10-31,24125.54000000
2014-11-28,25665.29000000
2014-12-30,25683.09000000
2015-01-30,26013.99000000
2015-02-27,27682.88000000
2015-03-31,28452.14000000
2015-04-30,28916.68000000
2015-05-29,30462.00000000
2015-06-30,30041.85000000
2015-07-31,30562.32000000
2015-08-31,28061.09000000
2015-09-30,26001.86000000
