Date,Close
2012-12-03,13440.95000000
2012-12-04,13405.45822172
2012-12-05,13458.22454721
2012-12-06,13567.77101447
2012-12-07,13543.58184717
2012-12-10,13553.69328380
2012-12-11,13542.77831067
2012-12-12,13623.67222522
2012-12-13,13854.07272992
2012-12-14,13847.81469782
2012-12-17,13978.78516117
2012-12-18,14113.77296822
2012-12-19,14452.56078593
2012-12-20,14281.47386798
2012-12-21,14141.37392748
2012-12-25,14341.76503706
2012-12-26,14556.67272957
2012-12-27,14689.62090718
2012-12-28,14793.53000000
2013-01-04,15210.45556052
2013-01-07,15083.70786166
2013-01-08,14954.32649592
2013-01-09,15054.72346218
2013-01-10,15160.18749842
2013-01-11,15372.18881974
2013-01-15,15482.55031737
2013-01-16,15086.05635697
2013-01-17,15099.20165575
2013-01-18,15531.41181243
2013-01-21,15295.84580412
2013-01-22,15242.08857904
2013-01-23,14924.85795883
2013-01-24,15115.44542714
2013-01-25,15550.68028147
2013-01-28,15405.08453541
2013-01-29,15465.49571189
2013-01-30,15817.40775933
2013-01-31,15852.63000000
2013-02-01,15928.22076578
2013-02-04,16027.06014121
2013-02-05,15723.88961991
2013-02-06,16317.82550135
2013-02-07,16166.59956647
2013-02-08,15876.95127038
2013-02-12,16185.00471989
2013-02-13,16018.05317888
2013-02-14,16098.21516613
2013-02-15,15908.83734022
2013-02-18,16242.68215245
2013-02-19,16192.72045031
2013-02-20,16329.95813515
2013-02-21,16103.96361125
2013-02-22,16213.96666039
2013-02-25,16608.46849107
2013-02-26,16233.54991441
2013-02-27,16027.89688307
2013-02-28,16463.47000000
2013-03-01,16536.35312522
2013-03-04,16607.70424469
2013-03-05,16658.07399536
2013-03-06,17018.92481161
2013-03-07,17076.10813771
2013-03-08,17532.59298317
2013-03-11,17632.28886461
2013-03-12,17589.69155451
2013-03-13,17488.60735351
2013-03-14,17697.16201325
2013-03-15,17960.52761429
2013-03-18,17480.16646208
2013-03-19,17840.71020997
2013-03-21,18086.79688762
2013-03-22,17667.75977148
2013-03-25,17971.92657633
2013-03-26,17871.11560499
2013-03-27,17909.28969156
2013-03-28,17689.37452946
2013-03-29,17784.57000000
2013-04-01,17407.46736622
2013-04-02,17218.71194972
2013-04-03,17733.36959300
2013-04-04,18124.04526773
2013-04-05,18409.65965231
2013-04-08,18924.57678403
2013-04-09,18924.24137207
2013-04-10,19061.64536996
2013-04-11,19436.09853003
2013-04-12,19344.27171159
2013-04-15,19043.78408271
2013-04-16,18966.01499019
2013-04-17,19197.62228978
2013-04-18,18964.06750612
2013-04-19,19102.37570275
2013-04-22,19463.71885237
2013-04-23,19408.18441153
2013-04-24,19858.35187366
2013-04-25,19976.87907520
2013-04-26,19916.71137869
2013-04-30,19883.34000000
2013-05-01,19795.10350267
2013-05-02,19644.03611699
2013-05-07,20341.48703159
2013-05-08,20492.75384749
2013-05-09,20357.60934961
2013-05-10,20954.44468020
2013-05-13,21205.00720718
2013-05-14,21170.87983725
2013-05-15,21655.17894816
2013-05-16,21570.84424316
2013-05-17,21715.55533838
2013-05-20,22035.00223651
2013-05-21,22063.99261326
2013-05-22,22417.22182768
2013-05-23,20777.19199489
2013-05-24,20961.48079889
2013-05-27,20287.55452807
2013-05-28,20530.45678207
2013-05-29,20551.22755158
2013-05-30,19493.38762493
2013-05-31,19759.50000000
2013-06-03,19025.26583909
2013-06-04,19416.67377635
