Date,Close
2007-05-07,1929.78000000
2007-05-08,1933.80000000
2007-05-09,1939.81000000
2007-05-10,1908.87000000
2007-05-11,1932.92000000
2007-05-14,1922.02000000
2007-05-15,1905.89000000
2007-05-16,1926.11000000
2007-05-17,1919.09000000
2007-05-18,1931.57000000
2007-05-21,1946.06000000
2007-05-22,1951.44000000
2007-05-23,1939.18000000
2007-05-24,1908.83000000
2007-05-25,1923.75000000
2007-05-29,1934.48000000
2007-05-30,1953.49000000
2007-05-31,1963.78000000
2007-06-01,1963.88000000
2007-06-04,1969.45000000
2007-06-05,1968.06000000
2007-06-06,1950.28000000
2007-06-07,1916.99000000
2007-06-08,1941.54000000
2007-06-11,1937.17000000
2007-06-12,1925.68000000
2007-06-13,1949.32000000
2007-06-14,1960.19000000
2007-06-15,1978.40000000
2007-06-18,1980.39000000
2007-06-19,1977.73000000
2007-06-20,1957.72000000
2007-06-21,1977.28000000
2007-06-22,1957.55000000
2007-06-25,1948.33000000
2007-06-26,1944.01000000
2007-06-27,1968.88000000
2007-06-28,1967.46000000
2007-06-29,1969.94000000
2007-07-02,1990.33000000
2007-07-03,2001.62000000
2007-07-05,2017.77000000
2007-07-06,2025.15000000
2007-07-09,2026.06000000
2007-07-10,2008.42000000
2007-07-11,2020.87000000
2007-07-12,2058.51000000
2007-07-13,2069.84000000
2007-07-16,2065.63000000
2007-07-17,2079.64000000
2007-07-18,2075.77000000
2007-07-19,2091.06000000
2007-07-20,2073.63000000
2007-07-23,2074.09000000
2007-07-24,2037.65000000
2007-07-25,2048.48000000
2007-07-26,2023.49000000
2007-07-27,1992.51000000
2007-07-30,2010.71000000
2007-07-31,1968.06000000
2007-08-01,1981.33000000
2007-08-02,2003.25000000
2007-08-03,1954.58000000
2007-08-06,1991.07000000
2007-08-07,1998.54000000
2007-08-08,2024.82000000
2007-08-09,1973.29000000
2007-08-10,1961.51000000
2007-08-13,1971.19000000
2007-08-14,1937.92000000
2007-08-15,1900.90000000
2007-08-16,1881.79000000
2007-08-17,1925.31000000
2007-08-20,1929.66000000
2007-08-21,1948.06000000
2007-08-22,1974.33000000
2007-08-23,1969.35000000
2007-08-24,1999.42000000
2007-08-27,1985.27000000
2007-08-28,1936.07000000
2007-08-29,1993.13000000
2007-08-30,2002.20000000
2007-08-31,2027.68000000
2007-09-04,2060.08000000
2007-09-05,2033.50000000
2007-09-06,2037.87000000
2007-09-07,1996.75000000
2007-09-10,1998.69000000
2007-09-11,2028.03000000
2007-09-12,2028.01000000
2007-09-13,2037.86000000
2007-09-14,2040.11000000
2007-09-17,2022.01000000
2007-09-18,2075.34000000
2007-09-19,2081.44000000
2007-09-20,2072.51000000
2007-09-21,2089.72000000
2007-09-24,2097.64000000
2007-09-25,2117.62000000
2007-09-26,2129.39000000
2007-09-27,2137.55000000
2007-09-28,2132.17000000
2007-10-01,2158.54000000
2007-10-02,2157.44000000
2007-10-03,2144.31000000
2007-10-04,2146.91000000
2007-10-05,2191.88000000
2007-10-08,2205.73000000
2007-10-09,2213.85000000
2007-10-10,2219.76000000
2007-10-11,2182.99000000
2007-10-12,2220.78000000
2007-10-15,2201.34000000
2007-10-16,2193.43000000
2007-10-17,2221.98000000
2007-10-18,2230.53000000
2007-10-19,2172.97000000
2007-10-22,2199.87000000
2007-10-23,2248.53000000
2007-10-24,2231.62000000
2007-10-25,2204.02000000
2007-10-26,2237.74000000
2007-10-29,2246.74000000
2007-10-30,2251.15000000
2007-10-31,2283.14000000
2007-11-01,2240.40000000
2007-11-02,2257.65000000
2007-11-05,2244.29000000
2007-11-06,2268.25000000
2007-11-07,2212.64000000
2007-11-08,2148.11000000
2007-11-09,2074.88000000
2007-11-12,2021.70000000
2007-11-13,2107.78000000
2007-11-14,2079.24000000
2007-11-15,2065.08000000
2007-11-16,2090.17000000
2007-11-19,2062.12000000
2007-11-20,2071.11000000
2007-11-21,2047.07000000
2007-11-23,2070.05000000
2007-11-26,2029.70000000
2007-11-27,2075.01000000
2007-11-28,2138.82000000
2007-11-29,2146.03000000
2007-11-30,2132.44000000
2007-12-03,2110.35000000
2007-12-04,2101.79000000
2007-12-05,2143.26000000
2007-12-06,2172.20000000
2007-12-07,2174.60000000
2007-12-10,2179.63000000
2007-12-11,2127.40000000
2007-12-12,2145.41000000
2007-12-13,2138.59000000
2007-12-14,2116.06000000
2007-12-17,2063.66000000
2007-12-18,2072.54000000
