Date,Close
1979-12-01,6474.06000000
1979-12-03,6475.55000000
1979-12-04,6487.65000000
1979-12-05,6507.65000000
1979-12-06,6502.96000000
1979-12-07,6461.34000000
1979-12-08,6472.75000000
1979-12-10,6452.14000000
1979-12-11,6443.98000000
1979-12-12,6501.24000000
1979-12-13,6493.63000000
1979-12-14,6509.77000000
1979-12-17,6491.25000000
1979-12-18,6478.38000000
1979-12-19,6477.11000000
1979-12-20,6526.13000000
1979-12-21,6535.94000000
1979-12-22,6507.89000000
1979-12-24,6522.87000000
1979-12-25,6546.44000000
1979-12-26,6531.23000000
1979-12-27,6528.83000000
1979-12-28,6569.47000000
1980-01-04,6560.16000000
1980-01-05,6583.03000000
1980-01-07,6552.65000000
1980-01-08,6563.28000000
1980-01-09,6591.83000000
1980-01-10,6594.01000000
1980-01-11,6615.51000000
1980-01-12,6634.42000000
1980-01-14,6659.55000000
1980-01-16,6653.26000000
1980-01-17,6656.30000000
1980-01-18,6649.30000000
1980-01-21,6666.27000000
1980-01-22,6684.59000000
1980-01-23,6694.19000000
1980-01-24,6746.93000000
1980-01-25,6767.71000000
1980-01-26,6764.01000000
1980-01-28,6763.61000000
1980-01-29,6770.83000000
1980-01-30,6776.60000000
1980-01-31,6768.16000000
1980-02-01,6777.64000000
1980-02-02,6796.53000000
1980-02-04,6794.21000000
1980-02-05,6765.12000000
1980-02-06,6800.33000000
1980-02-07,6795.62000000
1980-02-08,6816.03000000
1980-02-09,6827.61000000
1980-02-12,6828.05000000
1980-02-13,6835.99000000
1980-02-14,6839.86000000
1980-02-15,6827.71000000
1980-02-18,6756.60000000
1980-02-19,6763.09000000
1980-02-20,6806.01000000
1980-02-21,6776.51000000
1980-02-22,6783.22000000
1980-02-23,6788.00000000
1980-02-25,6751.29000000
1980-02-26,6739.43000000
1980-02-27,6777.34000000
1980-02-28,6743.99000000
1980-02-29,6764.89000000
1980-03-01,6778.29000000
1980-03-03,6793.56000000
1980-03-04,6778.27000000
1980-03-05,6794.04000000
1980-03-06,6736.09000000
1980-03-07,6625.18000000
1980-03-08,6633.34000000
1980-03-10,6507.16000000
1980-03-11,6535.67000000
1980-03-12,6609.46000000
1980-03-13,6604.39000000
1980-03-14,6593.40000000
1980-03-17,6562.66000000
1980-03-18,6578.21000000
1980-03-19,6584.76000000
1980-03-21,6571.77000000
1980-03-22,6545.44000000
1980-03-24,6567.25000000
1980-03-25,6531.26000000
1980-03-26,6535.88000000
1980-03-27,6481.02000000
1980-03-28,6475.93000000
1980-03-29,6527.09000000
1980-03-31,6556.19000000
1980-04-01,6502.80000000
1980-04-02,6562.99000000
1980-04-03,6614.20000000
1980-04-04,6688.64000000
1980-04-05,6703.91000000
1980-04-07,6737.06000000
1980-04-08,6682.54000000
1980-04-09,6708.24000000
1980-04-10,6730.51000000
1980-04-11,6751.96000000
1980-04-12,6767.67000000
1980-04-14,6808.17000000
1980-04-15,6805.78000000
1980-04-16,6770.37000000
1980-04-17,6798.78000000
1980-04-18,6811.39000000
1980-04-21,6810.67000000
1980-04-22,6799.01000000
1980-04-23,6843.85000000
1980-04-24,6830.31000000
1980-04-25,6904.81000000
1980-04-26,6875.73000000
1980-04-28,6875.66000000
1980-04-30,6865.56000000
1980-05-01,6865.08000000
1980-05-02,6882.65000000
1980-05-06,6856.08000000
1980-05-07,6834.84000000
1980-05-08,6757.70000000
1980-05-09,6808.38000000
1980-05-10,6760.77000000
1980-05-12,6754.94000000
1980-05-13,6766.94000000
1980-05-14,6747.74000000
1980-05-15,6746.51000000
1980-05-16,6733.00000000
1980-05-19,6634.33000000
1980-05-20,6707.30000000
1980-05-21,6822.18000000
1980-05-22,6836.89000000
1980-05-23,6839.89000000
1980-05-24,6828.04000000
1980-05-26,6831.92000000
1980-05-27,6826.50000000
1980-05-28,6849.05000000
1980-05-29,6841.40000000
1980-05-30,6855.70000000
1980-05-31,6865.66000000
1980-06-02,6862.70000000
1980-06-03,6826.18000000
1980-06-04,6795.63000000
1980-06-05,6821.24000000
1980-06-06,6814.50000000
1980-06-07,6834.37000000
1980-06-09,6823.04000000
1980-06-10,6783.24000000
1980-06-11,6826.01000000
1980-06-12,6814.72000000
1980-06-13,6821.81000000
1980-06-14,6842.19000000
1980-06-16,6852.61000000
1980-06-17,6798.50000000
1980-06-18,6824.95000000
1980-06-19,6791.88000000
1980-06-20,6813.85000000
1980-06-23,6860.89000000
1980-06-24,6806.37000000
1980-06-25,6761.25000000
1980-06-26,6800.53000000
1980-06-27,6825.03000000
1980-06-28,6837.43000000
1980-06-30,6870.70000000
1980-07-01,6824.35000000
1980-07-02,6819.45000000
1980-07-03,6863.84000000
1980-07-04,6846.09000000
1980-07-05,6796.95000000
1980-07-07,6708.49000000
1980-07-08,6755.54000000
1980-07-09,6789.71000000
1980-07-10,6794.24000000
1980-07-11,6787.96000000
1980-07-12,6802.61000000
1980-07-14,6779.36000000
1980-07-15,6793.37000000
1980-07-16,6816.15000000
1980-07-17,6810.41000000
1980-07-18,6819.78000000
1980-07-21,6842.49000000
1980-07-22,6836.10000000
1980-07-23,6837.47000000
1980-07-24,6795.98000000
1980-07-25,6810.49000000
1980-07-26,6820.52000000
1980-07-28,6816.71000000
1980-07-29,6811.38000000
1980-07-30,6821.10000000
1980-07-31,6819.63000000
1980-08-01,6788.30000000
1980-08-02,6793.63000000
1980-08-04,6753.40000000
1980-08-05,6760.85000000
1980-08-06,6739.97000000
1980-08-07,6739.89000000
1980-08-08,6771.52000000
1980-08-09,6766.79000000
1980-08-11,6778.54000000
1980-08-12,6801.68000000
1980-08-13,6834.32000000
1980-08-14,6824.00000000
1980-08-15,6836.82000000
1980-08-18,6835.78000000
1980-08-19,6864.55000000
1980-08-20,6878.76000000
1980-08-21,6853.69000000
1980-08-22,6886.16000000
1980-08-23,6910.52000000
1980-08-25,6922.99000000
1980-08-26,6906.05000000
1980-08-27,6930.66000000
1980-08-28,6879.83000000
1980-08-29,6914.08000000
1980-08-30,6910.87000000
1980-09-01,6889.54000000
1980-09-02,6915.40000000
1980-09-03,6927.27000000
1980-09-04,6917.56000000
1980-09-05,6943.69000000
1980-09-06,6919.96000000
1980-09-08,6938.42000000
1980-09-09,6937.98000000
1980-09-10,6956.21000000
1980-09-11,6978.89000000
1980-09-12,7000.04000000
1980-09-13,7017.62000000
1980-09-16,7020.16000000
1980-09-17,7031.51000000
1980-09-18,7035.84000000
1980-09-19,7041.66000000
1980-09-22,7046.51000000
1980-09-24,6972.62000000
1980-09-25,6989.84000000
1980-09-26,6998.52000000
1980-09-27,7015.16000000
1980-09-29,7060.75000000
1980-09-30,7076.46000000
1980-10-01,7123.08000000
1980-10-02,7119.40000000
1980-10-03,7142.24000000
1980-10-04,7153.80000000
1980-10-06,7155.98000000
1980-10-07,7149.91000000
1980-10-08,7115.33000000
1980-10-09,7130.30000000
1980-10-11,7145.04000000
1980-10-13,7160.26000000
1980-10-14,7157.80000000
1980-10-15,7174.27000000
1980-10-16,7151.78000000
1980-10-17,7169.26000000
1980-10-20,7175.33000000
1980-10-21,7165.36000000
1980-10-22,7143.86000000
1980-10-23,7130.89000000
1980-10-24,7117.07000000
1980-10-25,7098.92000000
1980-10-27,7089.19000000
1980-10-28,7088.44000000
1980-10-29,7113.53000000
1980-10-30,7124.78000000
1980-10-31,7150.75000000
1980-11-01,7148.91000000
1980-11-04,7149.37000000
1980-11-05,7176.39000000
1980-11-06,7188.28000000
1980-11-07,7150.33000000
1980-11-08,7150.23000000
1980-11-10,7166.77000000
1980-11-11,7134.50000000
1980-11-12,7149.85000000
1980-11-13,7154.41000000
1980-11-14,7159.56000000
1980-11-17,7126.16000000
1980-11-18,7102.48000000
1980-11-19,7135.94000000
1980-11-20,7126.73000000
1980-11-21,7117.90000000
1980-11-22,7130.00000000
1980-11-25,7145.43000000
1980-11-26,7186.30000000
1980-11-27,7172.17000000
1980-11-28,7123.62000000
1980-11-29,7165.45000000
1980-12-01,7160.29000000
1980-12-02,7143.06000000
1980-12-03,7141.20000000
1980-12-04,7149.47000000
1980-12-05,7136.60000000
1980-12-06,7123.52000000
1980-12-08,7125.13000000
1980-12-09,7115.10000000
1980-12-10,7098.85000000
1980-12-11,7042.41000000
1980-12-12,7033.70000000
1980-12-13,7033.17000000
1980-12-15,7042.67000000
1980-12-16,7036.76000000
1980-12-17,7038.10000000
1980-12-18,7063.54000000
1980-12-19,7060.52000000
1980-12-22,7050.79000000
1980-12-23,7023.57000000
1980-12-24,7042.00000000
1980-12-25,7031.87000000
1980-12-26,7063.13000000
1980-12-27,7116.38000000
1981-01-05,7150.95000000
1981-01-06,7137.59000000
1981-01-07,7200.77000000
1981-01-08,7222.14000000
1981-01-09,7248.13000000
1981-01-10,7262.57000000
1981-01-12,7251.88000000
1981-01-13,7246.80000000
1981-01-14,7244.78000000
1981-01-16,7255.85000000
1981-01-19,7296.08000000
1981-01-20,7289.98000000
1981-01-21,7315.33000000
1981-01-22,7293.28000000
1981-01-23,7267.52000000
1981-01-24,7247.61000000
1981-01-26,7249.42000000
1981-01-27,7285.03000000
1981-01-28,7279.41000000
1981-01-29,7215.12000000
1981-01-30,7254.01000000
1981-01-31,7284.15000000
1981-02-02,7322.06000000
1981-02-03,7291.31000000
1981-02-04,7288.41000000
1981-02-05,7278.44000000
1981-02-06,7264.11000000
1981-02-07,7264.98000000
1981-02-09,7239.90000000
1981-02-10,7261.53000000
1981-02-12,7261.49000000
1981-02-13,7207.22000000
1981-02-14,7160.82000000
1981-02-16,7165.52000000
1981-02-17,7135.91000000
1981-02-18,7157.00000000
1981-02-19,7121.65000000
1981-02-20,7100.81000000
1981-02-23,7095.26000000
1981-02-24,7111.23000000
1981-02-25,7121.66000000
1981-02-26,7120.24000000
1981-02-27,7146.53000000
1981-02-28,7149.57000000
1981-03-02,7155.58000000
1981-03-03,7137.12000000
1981-03-04,7134.39000000
1981-03-05,7094.03000000
1981-03-06,7081.19000000
1981-03-07,7064.99000000
1981-03-09,7068.73000000
1981-03-10,7059.41000000
1981-03-11,7044.87000000
1981-03-12,6986.39000000
1981-03-13,6956.52000000
1981-03-14,7046.51000000
1981-03-16,7124.33000000
1981-03-17,7120.39000000
1981-03-18,7176.67000000
1981-03-19,7196.80000000
1981-03-20,7220.94000000
1981-03-23,7293.57000000
1981-03-24,7318.19000000
1981-03-25,7325.96000000
1981-03-26,7307.27000000
1981-03-27,7303.04000000
1981-03-28,7278.32000000
1981-03-30,7304.69000000
1981-03-31,7334.31000000
1981-04-01,7389.99000000
1981-04-02,7416.97000000
1981-04-03,7421.19000000
1981-04-04,7388.89000000
1981-04-06,7447.74000000
1981-04-07,7458.36000000
