Date,Close
2020-11-02,6147.50000000
2020-11-03,6221.38000000
2020-11-04,6268.38000000
2020-11-05,6361.93000000
2020-11-06,6362.72000000
2020-11-09,6487.26000000
2020-11-10,6451.48000000
2020-11-11,6387.70000000
2020-11-12,6394.07000000
2020-11-13,6326.83000000
2020-11-16,6388.48000000
2020-11-17,6376.25000000
2020-11-18,6372.19000000
2020-11-19,6419.50000000
2020-11-20,6439.43000000
2020-11-23,6519.86000000
2020-11-24,6479.81000000
2020-11-25,6397.21000000
2020-11-26,6408.79000000
2020-11-27,6489.49000000
2020-11-30,6462.76000000
2020-12-01,6601.97000000
2020-12-02,6602.03000000
2020-12-03,6588.89000000
2020-12-04,6600.43000000
2020-12-07,6543.52000000
2020-12-08,6527.45000000
2020-12-09,6439.92000000
2020-12-10,6437.09000000
2020-12-11,6371.22000000
2020-12-14,6430.12000000
2020-12-15,6443.50000000
2020-12-16,6454.92000000
2020-12-17,6537.85000000
2020-12-18,6515.04000000
2020-12-21,6576.11000000
2020-12-22,6469.18000000
2020-12-23,6524.36000000
2020-12-24,6515.10000000
2020-12-25,6569.82000000
2020-12-28,6599.01000000
2020-12-29,6571.03000000
2020-12-30,6663.25000000
2020-12-31,6790.39000000
2021-01-04,6863.92000000
2021-01-05,6995.25000000
2021-01-06,7059.31000000
2021-01-07,7184.38000000
2021-01-08,7160.63000000
2021-01-11,7089.92000000
2021-01-12,7292.14000000
2021-01-13,7268.18000000
2021-01-14,7128.09000000
2021-01-15,7111.97000000
2021-01-18,7190.72000000
2021-01-19,7085.18000000
2021-01-20,7135.88000000
2021-01-21,7251.24000000
2021-01-22,7257.51000000
2021-01-25,7330.67000000
2021-01-26,7183.48000000
2021-01-27,7203.08000000
2021-01-28,7006.50000000
2021-01-29,6973.69000000
2021-02-01,7059.28000000
2021-02-02,7168.01000000
2021-02-03,7147.30000000
2021-02-04,7132.64000000
2021-02-05,7144.98000000
2021-02-08,7250.71000000
2021-02-09,7409.27000000
2021-02-10,7567.55000000
2021-02-18,7516.29000000
2021-02-19,7529.92000000
2021-02-22,7293.41000000
2021-02-23,7270.40000000
2021-02-24,7085.24000000
2021-02-25,7126.92000000
2021-02-26,6953.88000000
2021-03-01,7060.76000000
2021-03-02,6970.65000000
